sleeper_id,sleeper_name,yahoo_id,yahoo_name,espn_id,espn_name,cbs_id,cbs_name,hashtag_id,hashtag_name,fantrax_id,fantrax_name,nba_id
1713,Dejounte Murray,5660,Dejounte Murray,3907497,Dejounte Murray,2203544,Dejounte Murray,10165,Dejounte Murray,'042nq,Dejounte Murray,1627749
1590,Kristaps Porziņģis,5464,Kristaps Porzingis,3102531,Kristaps Porzingis,2108420,Kristaps Porzingis,9373,Kristaps Porzingis,'03el5,Kristaps Porzingis,204001
1535,Julius Randle,5318,Julius Randle,3064514,Julius Randle,2135560,Julius Randle,9282,Julius Randle,'03ajv,Julius Randle,203944
1526,Zach LaVine,5324,Zach LaVine,3064440,Zach LaVine,2135543,Zach LaVine,9343,Zach LaVine,'03ams,Zach LaVine,203897
1074,Paul George,4725,Paul George,4251,Paul George,1755181,Paul George,9250,Paul George,'01uyj,Paul George,202331
1747,Jamal Murray,5638,Jamal Murray,3936299,Jamal Murray,2202752,Jamal Murray,10134,Jamal Murray,'042n4,Jamal Murray,1627750
2313,Josh Giddey,6548,Josh Giddey,4871145,Josh Giddey,26646085,Josh Giddey,31035,Josh Giddey,'05uig,Josh Giddey,1630581
1321,DeMar DeRozan,4614,DeMar DeRozan,3978,DeMar DeRozan,1685250,DeMar DeRozan,9489,DeMar DeRozan,'01eon,DeMar DeRozan,201942
1717,Fred VanVleet,5727,Fred VanVleet,2991230,Fred VanVleet,2252663,Fred VanVleet,10124,Fred VanVleet,'04848,Fred VanVleet,1627832
2289,Scottie Barnes,6515,Scottie Barnes,4433134,Scottie Barnes,3178194,Scottie Barnes,31033,Scottie Barnes,'05uie,Scottie Barnes,1630567
1486,Nikola Vučević,4897,Nikola Vucevic,6478,Nikola Vucevic,1647481,Nikola Vucevic,9412,Nikola Vucevic,'027p0,Nikola Vucevic,202696
1265,Jrue Holiday,4622,Jrue Holiday,3995,Jrue Holiday,1685257,Jrue Holiday,9355,Jrue Holiday,'01eo9,Jrue Holiday,201950
2455,Chet Holmgren,6692,Chet Holmgren,4433255,Chet Holmgren,26776724,Chet Holmgren,38617,Chet Holmgren,'06211,Chet Holmgren,1631096
